dataset,extraction,scaling,exp_var,pca_comp,date
bal_pmdeamo,librosa,standard,0.94,127,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.94,128,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.94,129,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,130,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,131,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,132,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,133,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,134,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,135,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,136,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,137,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,138,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,139,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,140,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,141,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,142,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.95,143,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,144,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,145,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,146,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,147,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,148,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,149,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,150,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,151,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,152,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,153,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,154,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,155,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,156,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,157,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,158,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.96,159,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,160,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,161,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,162,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,163,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,164,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,165,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,166,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,167,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,168,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,169,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,170,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,171,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,172,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,173,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,174,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,175,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,176,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,177,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,178,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,179,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,180,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.97,181,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,182,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,183,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,184,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,185,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,186,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,187,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,188,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,189,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,190,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,191,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,192,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,193,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,194,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,195,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,196,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,197,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,198,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,199,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,200,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,201,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,202,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,203,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,204,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,205,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,206,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,207,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,208,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,209,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,210,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,211,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,212,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.98,213,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,214,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,215,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,216,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,217,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,218,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,219,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,220,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,221,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,222,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,223,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,224,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,225,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,226,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,227,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,228,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,229,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,230,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,231,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,232,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,233,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,234,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,235,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,236,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,237,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,238,2019-12-20_14-16-46
bal_pmdeamo,librosa,standard,0.99,239,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,1,None,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.17,1,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.29,2,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.36,3,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.4,4,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.43,5,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.46,6,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.48,7,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.5,8,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.53,9,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.55,10,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.57,11,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.58,12,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.6,13,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.61,14,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.63,15,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.64,16,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.65,17,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.66,18,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.67,19,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.68,20,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.69,21,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.7,22,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.71,23,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.71,24,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.72,25,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.73,26,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.73,27,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.74,28,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.74,29,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.75,30,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.75,31,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.76,32,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.76,33,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.77,34,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.77,35,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.78,36,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.78,37,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.78,38,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.79,39,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.79,40,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.8,41,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.8,42,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.8,43,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.81,44,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.81,45,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.81,46,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.82,47,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.82,48,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.82,49,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.83,50,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.83,51,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.83,52,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.84,53,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.84,54,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.84,55,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.84,56,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.85,57,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.85,58,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.85,59,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.85,60,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.86,61,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.86,62,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.86,63,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.86,64,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.87,65,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.87,66,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.87,67,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.87,68,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.87,69,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.88,70,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.88,71,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.88,72,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.88,73,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.88,74,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.89,75,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.89,76,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.89,77,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.89,78,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.89,79,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.89,80,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.9,81,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.9,82,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.9,83,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.9,84,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.9,85,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.9,86,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.9,87,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.91,88,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.91,89,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.91,90,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.91,91,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.91,92,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.91,93,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.91,94,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.92,95,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.92,96,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.92,97,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.92,98,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.92,99,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.92,100,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.92,101,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.92,102,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.93,103,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.93,104,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.93,105,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.93,106,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.93,107,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.93,108,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.93,109,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.93,110,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.93,111,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.93,112,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.94,113,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.94,114,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.94,115,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.94,116,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.94,117,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.94,118,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.94,119,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.94,120,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.94,121,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.94,122,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,123,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,124,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,125,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,126,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,127,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,128,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,129,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,130,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,131,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,132,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,133,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,134,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.95,135,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,136,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,137,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,138,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,139,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,140,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,141,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,142,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,143,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,144,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,145,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,146,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,147,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,148,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,149,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.96,150,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,151,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,152,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,153,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,154,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,155,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,156,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,157,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,158,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,159,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,160,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,161,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,162,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,163,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,164,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,165,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,166,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,167,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,168,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.97,169,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,170,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,171,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,172,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,173,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,174,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,175,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,176,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,177,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,178,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,179,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,180,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,181,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,182,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,183,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,184,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,185,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,186,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,187,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,188,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,189,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,190,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,191,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,192,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,193,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,194,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,195,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,196,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,197,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.98,198,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,199,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,200,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,201,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,202,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,203,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,204,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,205,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,206,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,207,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,208,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,209,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,210,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,211,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,212,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,213,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,214,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,215,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,216,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,217,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,218,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,219,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,220,2019-12-20_14-16-46
bal_pmdeamo,librosa,minmax,0.99,221,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,1,None,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.35,1,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.52,2,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.62,3,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.67,4,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.7,5,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.72,6,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.74,7,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.76,8,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.77,9,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.79,10,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.8,11,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.81,12,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.82,13,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.83,14,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.83,15,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.84,16,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.85,17,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.85,18,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.86,19,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.86,20,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.87,21,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.87,22,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.87,23,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.88,24,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.88,25,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.89,26,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.89,27,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.89,28,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.89,29,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.9,30,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.9,31,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.9,32,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.91,33,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.91,34,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.91,35,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.91,36,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.91,37,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.92,38,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.92,39,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.92,40,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.92,41,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.92,42,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.93,43,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.93,44,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.93,45,2019-12-20_14-16-46
bal_pmdeamo,librosa,robust,0.93,46,2019-12-20_14-16-46
